tribal_name,early_mean_doy,recent_mean_doy,shift_days,season_start_shift,season_end_shift
Cherokee,226.7,206.5,-20.19999999999999,-46.0,3.0
Chickasaw,179.04761904761904,185.28571428571428,6.238095238095241,-2.0,-15.0
Choctaw,198.46666666666667,124.5,-73.96666666666667,-35.0,-144.0
Colville,248.0,269.0,21.0,31.0,1.0
Creek,193.13333333333333,188.2,-4.933333333333337,-20.0,4.0
Fort Apache,167.4,171.95238095238096,4.5523809523809575,-3.0,7.0
Kiowa-Comanche-Apache-Fort Sill Apache,170.97619047619048,173.3,2.3238095238095298,0.0,4.0
Osage,201.07142857142858,209.0,7.928571428571416,-30.0,22.0
San Carlos,188.0,,,,
Warm Springs,205.02941176470588,214.55555555555554,9.526143790849659,34.0,-11.0
