tribal_name,slope_days_per_year,p_value,r_squared,trend_direction,pct_change_total,early_period_mean,recent_period_mean,change_days
Cherokee,-0.00923076923076923,0.8436697629386694,0.00172645309802417,No significant trend,-33.027522935779956,0.75,0.38461538461538464,-0.36538461538461536
Chickasaw,-0.020000000000000004,0.8375446775956101,0.0018662072925638834,No significant trend,-35.29411764705913,1.75,0.5384615384615384,-1.2115384615384617
Choctaw,-0.02846153846153846,0.655278535851595,0.008816786027100827,No significant trend,-66.86746987951798,1.1666666666666667,0.23076923076923078,-0.9358974358974359
Colville,0.005384615384615385,0.6902420198481586,0.007032146957520094,No significant trend,135.48387096774218,0.25,0.07692307692307693,-0.17307692307692307
Creek,-0.013076923076923078,0.8134924314436195,0.00247008547008547,No significant trend,-32.79742765273312,1.0,0.6153846153846154,-0.3846153846153846
Fort Apache,-0.009230769230769237,0.8491454092194444,0.0016062823487417474,No significant trend,-10.300429184549365,2.25,1.8461538461538463,-0.40384615384615374
Kiowa-Comanche-Apache-Fort Sill Apache,0.08000000000000002,0.4831904098941549,0.021608144608352385,No significant trend,82.7586206896561,3.0,3.5384615384615383,0.5384615384615383
Osage,0.006153846153846154,0.9085522018979973,0.0005860805860805862,No significant trend,20.33898305084725,1.0,0.6153846153846154,-0.3846153846153846
San Carlos,-0.006153846153846154,0.5151158410775829,0.018648018648018648,No significant trend,-76.1904761904761,0.25,0.0,-0.25
Warm Springs,-0.10461538461538462,0.07431378437802465,0.13193334855055924,No significant trend,-75.27675276752765,2.75,1.4615384615384615,-1.2884615384615385
