tribe_name,num_connections,degree_centrality,betweenness_centrality
Cherokee,5,0.5555555555555556,0.05555555555555555
Chickasaw,5,0.5555555555555556,0.0
Choctaw,5,0.5555555555555556,0.041666666666666664
Creek,5,0.5555555555555556,0.0
Osage,5,0.5555555555555556,0.027777777777777776
Kiowa-Comanche-Apache-Fort Sill Apache,5,0.5555555555555556,0.16666666666666666
Fort Apache,1,0.1111111111111111,0.0
Colville,1,0.1111111111111111,0.0
San Carlos,1,0.1111111111111111,0.0
Warm Springs,1,0.1111111111111111,0.0
