huc8,watershed_name,area_sqkm,num_tribes,tribal_overlap_km2
11090202,Lower Canadian-Walnut,4747.16,3,2570.582392774805
11090204,Lower Canadian,5130.29,3,5130.316840478901
11070107,Bird,2945.86,3,2945.86278453914
11110101,Polecat-Snake,3424.63,3,3424.621895040433
11110102,Dirty-Greenleaf,2064.43,3,2064.434430835063
11060006,Black Bear-Red Rock,5531.63,2,1769.6892316655014
11100302,Lower North Canadian,4842.71,2,2321.2468073793657
11110104,Robert S. Kerr Reservoir,4564.9,2,3709.800723419511
11070106,Caney,5424.37,2,3047.343045133341
11070105,Lower Verdigris,1849.61,2,1849.6077026148296
11070209,Lower Neosho,5764.73,2,5392.367006567797
11130302,Upper Washita,8310.93,2,2528.1675368362203
11140104,Clear Boggy,2597.43,2,2597.4276417312503
11140103,Muddy Boggy,3716.93,2,3716.925458694593
11130208,Northern Beaver,2237.73,2,2237.73243346241
11130304,Lower Washita,1893.85,2,1893.847321553983
11140102,Blue,1769.24,2,1769.2408391002596
11130201,Farmers-Mud,6010.14,2,3820.097508902506
11140101,Bois D'arc-Island,5137.18,2,1422.0214564817238
15060101,Black,3241.21,2,2311.0919128975215
15060103,Upper Salt,5579.22,2,2288.5907110006992
